idbase,ponderador,variable,value,sort_value
2110.0,1.1847591449646682,sexo,Hombre,1.0
2240.0,0.8455146423265579,sexo,Mujer,2.0
2225.0,0.9357676922988912,sexo,Hombre,1.0
1547.0,0.8689247454382582,sexo,Mujer,2.0
2322.0,0.6820013645392717,sexo,Mujer,2.0
2379.0,1.217562046721443,sexo,Hombre,1.0
2380.0,1.217562046721443,sexo,Hombre,1.0
653.0,1.1847591449646682,sexo,Hombre,1.0
2383.0,1.217562046721443,sexo,Hombre,1.0
801.0,0.8455146423265579,sexo,Mujer,2.0
2287.0,1.217562046721443,sexo,Hombre,1.0
958.0,0.8634700259113033,sexo,Mujer,2.0
2382.0,0.6863097088348782,sexo,Mujer,2.0
1166.0,0.8689247454382582,sexo,Mujer,2.0
2294.0,0.8689247454382582,sexo,Mujer,2.0
2376.0,0.8689247454382582,sexo,Mujer,2.0
2260.0,1.2099187387061097,sexo,Hombre,1.0
2220.0,0.8689247454382582,sexo,Mujer,2.0
2346.0,0.6678195218138128,sexo,Mujer,2.0
2101.0,1.1847591449646682,sexo,Hombre,1.0
2360.0,0.8689247454382582,sexo,Mujer,2.0
2228.0,1.1847591449646682,sexo,Hombre,1.0
2338.0,0.8689247454382582,sexo,Mujer,2.0
2375.0,1.2099187387061097,sexo,Hombre,1.0
2374.0,1.2099187387061097,sexo,Hombre,1.0
2359.0,1.217562046721443,sexo,Hombre,1.0
2211.0,1.217562046721443,sexo,Hombre,1.0
2329.0,1.217562046721443,sexo,Hombre,1.0
2126.0,0.9357676922988912,sexo,Hombre,1.0
2384.0,0.8455146423265579,sexo,Mujer,2.0
2363.0,0.8689247454382582,sexo,Mujer,2.0
2340.0,1.1847591449646682,sexo,Hombre,1.0
2353.0,1.217562046721443,sexo,Hombre,1.0
2385.0,0.8455146423265579,sexo,Mujer,2.0
1592.0,0.6863097088348782,sexo,Mujer,2.0
2181.0,1.191133815660212,sexo,Mujer,2.0
2387.0,0.8455146423265579,sexo,Mujer,2.0
2370.0,1.1847591449646682,sexo,Hombre,1.0
2354.0,0.6863097088348782,sexo,Mujer,2.0
2367.0,0.8689247454382582,sexo,Mujer,2.0
114.0,0.9408026489069816,sexo,Mujer,2.0
2302.0,1.1847591449646682,sexo,Hombre,1.0
2347.0,0.8455146423265579,sexo,Mujer,2.0
2334.0,1.217562046721443,sexo,Hombre,1.0
2366.0,1.191133815660212,sexo,Mujer,2.0
2137.0,0.8634700259113033,sexo,Mujer,2.0
2064.0,1.217562046721443,sexo,Hombre,1.0
1733.0,0.8455146423265579,sexo,Mujer,2.0
2316.0,0.9519198893262194,sexo,Hombre,1.0
2167.0,0.8689247454382582,sexo,Mujer,2.0
2128.0,1.1847591449646682,sexo,Hombre,1.0
2255.0,1.1847591449646682,sexo,Hombre,1.0
2019.0,1.217562046721443,sexo,Hombre,1.0
2330.0,1.1847591449646682,sexo,Hombre,1.0
2037.0,0.8689247454382582,sexo,Mujer,2.0
1674.0,0.9616766678135392,sexo,Hombre,1.0
2258.0,1.2099187387061097,sexo,Hombre,1.0
2371.0,0.8455146423265579,sexo,Mujer,2.0
2295.0,0.8689247454382582,sexo,Mujer,2.0
2299.0,0.8455146423265579,sexo,Mujer,2.0
612.0,1.1847591449646682,sexo,Hombre,1.0
2088.0,0.9357676922988912,sexo,Hombre,1.0
2355.0,0.8455146423265579,sexo,Mujer,2.0
2067.0,0.8689247454382582,sexo,Mujer,2.0
2279.0,1.217562046721443,sexo,Hombre,1.0
131.0,0.9408026489069816,sexo,Mujer,2.0
1719.0,0.8689247454382582,sexo,Mujer,2.0
2014.0,1.217562046721443,sexo,Hombre,1.0
2310.0,0.8455146423265579,sexo,Mujer,2.0
2336.0,0.8689247454382582,sexo,Mujer,2.0
1177.0,1.217562046721443,sexo,Hombre,1.0
2373.0,0.8634700259113033,sexo,Mujer,2.0
2135.0,0.8634700259113033,sexo,Mujer,2.0
2243.0,0.8455146423265579,sexo,Mujer,2.0
2229.0,1.1847591449646682,sexo,Hombre,1.0
991.0,1.423894482151761,sexo,Hombre,1.0
2318.0,1.2099187387061097,sexo,Hombre,1.0
2361.0,1.217562046721443,sexo,Hombre,1.0
2173.0,1.1847591449646682,sexo,Hombre,1.0
1610.0,1.217562046721443,sexo,Hombre,1.0
1615.0,0.8689247454382582,sexo,Mujer,2.0
1760.0,0.8455146423265579,sexo,Mujer,2.0
2179.0,1.3182794077137172,sexo,Hombre,1.0
2319.0,0.8634700259113033,sexo,Mujer,2.0
2333.0,0.8689247454382582,sexo,Mujer,2.0
1621.0,0.8689247454382582,sexo,Mujer,2.0
1734.0,0.6678195218138128,sexo,Mujer,2.0
2217.0,0.6863097088348782,sexo,Mujer,2.0
2269.0,0.8634700259113033,sexo,Mujer,2.0
2146.0,0.9556396933504712,sexo,Hombre,1.0
2249.0,1.1847591449646682,sexo,Hombre,1.0
2158.0,1.423894482151761,sexo,Hombre,1.0
2308.0,1.1847591449646682,sexo,Hombre,1.0
291.0,1.217562046721443,sexo,Hombre,1.0
2335.0,0.8689247454382582,sexo,Mujer,2.0
988.0,1.423894482151761,sexo,Hombre,1.0
2204.0,0.8689247454382582,sexo,Mujer,2.0
255.0,1.217562046721443,sexo,Hombre,1.0
1972.0,1.6690505525687327,sexo,Hombre,1.0
2138.0,0.8634700259113033,sexo,Mujer,2.0
1043.0,1.3182794077137172,sexo,Hombre,1.0
1673.0,0.6863097088348782,sexo,Mujer,2.0
2365.0,1.2099187387061097,sexo,Hombre,1.0
1999.0,1.217562046721443,sexo,Hombre,1.0
2027.0,1.217562046721443,sexo,Hombre,1.0
2350.0,1.6690505525687327,sexo,Hombre,1.0
2357.0,0.8689247454382582,sexo,Mujer,2.0
2358.0,0.9782760772000166,sexo,Hombre,1.0
2188.0,0.6863097088348782,sexo,Mujer,2.0
2106.0,1.1847591449646682,sexo,Hombre,1.0
2342.0,0.8455146423265579,sexo,Mujer,2.0
2023.0,1.217562046721443,sexo,Hombre,1.0
2152.0,1.2099187387061097,sexo,Hombre,1.0
2259.0,0.8634700259113033,sexo,Mujer,2.0
2369.0,0.9357676922988912,sexo,Hombre,1.0
2130.0,0.8455146423265579,sexo,Mujer,2.0
2290.0,1.217562046721443,sexo,Hombre,1.0
2234.0,0.8455146423265579,sexo,Mujer,2.0
2268.0,1.0161758522009203,sexo,Mujer,2.0
2149.0,1.2099187387061097,sexo,Hombre,1.0
2061.0,0.8689247454382582,sexo,Mujer,2.0
2172.0,1.217562046721443,sexo,Hombre,1.0
2183.0,1.217562046721443,sexo,Hombre,1.0
2266.0,1.0161758522009203,sexo,Mujer,2.0
1283.0,1.1847591449646682,sexo,Hombre,1.0
2275.0,0.9616766678135392,sexo,Hombre,1.0
1824.0,1.1847591449646682,sexo,Hombre,1.0
2216.0,1.217562046721443,sexo,Hombre,1.0
1988.0,1.217562046721443,sexo,Hombre,1.0
2202.0,0.8689247454382582,sexo,Mujer,2.0
2224.0,1.217562046721443,sexo,Hombre,1.0
2332.0,0.9570417538408628,sexo,Mujer,2.0
1119.0,0.8689247454382582,sexo,Mujer,2.0
