idbase,ponderador,variable,value,index,raw_value
2110.0,1.1847591449646682,sexo,Hombre,2613,2
2225.0,0.9357676922988913,sexo,Hombre,2613,2
2379.0,1.217562046721443,sexo,Hombre,2613,2
2380.0,1.217562046721443,sexo,Hombre,2613,2
653.0,1.1847591449646682,sexo,Hombre,2613,2
2383.0,1.217562046721443,sexo,Hombre,2613,2
2287.0,1.217562046721443,sexo,Hombre,2613,2
2260.0,1.2099187387061097,sexo,Hombre,2613,2
2101.0,1.1847591449646682,sexo,Hombre,2613,2
2228.0,1.1847591449646682,sexo,Hombre,2613,2
2375.0,1.2099187387061097,sexo,Hombre,2613,2
2374.0,1.2099187387061097,sexo,Hombre,2613,2
2359.0,1.217562046721443,sexo,Hombre,2613,2
2211.0,1.217562046721443,sexo,Hombre,2613,2
2329.0,1.217562046721443,sexo,Hombre,2613,2
2126.0,0.9357676922988913,sexo,Hombre,2613,2
2340.0,1.1847591449646682,sexo,Hombre,2613,2
2353.0,1.217562046721443,sexo,Hombre,2613,2
2370.0,1.1847591449646682,sexo,Hombre,2613,2
2302.0,1.1847591449646682,sexo,Hombre,2613,2
2334.0,1.217562046721443,sexo,Hombre,2613,2
2064.0,1.217562046721443,sexo,Hombre,2613,2
2316.0,0.9519198893262194,sexo,Hombre,2613,2
2128.0,1.1847591449646682,sexo,Hombre,2613,2
2255.0,1.1847591449646682,sexo,Hombre,2613,2
2019.0,1.217562046721443,sexo,Hombre,2613,2
2330.0,1.1847591449646682,sexo,Hombre,2613,2
1674.0,0.9616766678135391,sexo,Hombre,2613,2
2258.0,1.2099187387061097,sexo,Hombre,2613,2
612.0,1.1847591449646682,sexo,Hombre,2613,2
2088.0,0.9357676922988913,sexo,Hombre,2613,2
2279.0,1.217562046721443,sexo,Hombre,2613,2
2014.0,1.217562046721443,sexo,Hombre,2613,2
1177.0,1.217562046721443,sexo,Hombre,2613,2
2229.0,1.1847591449646682,sexo,Hombre,2613,2
991.0,1.423894482151761,sexo,Hombre,2613,2
2318.0,1.2099187387061097,sexo,Hombre,2613,2
2361.0,1.217562046721443,sexo,Hombre,2613,2
2173.0,1.1847591449646682,sexo,Hombre,2613,2
1610.0,1.217562046721443,sexo,Hombre,2613,2
2179.0,1.3182794077137172,sexo,Hombre,2613,2
2146.0,0.9556396933504712,sexo,Hombre,2613,2
2249.0,1.1847591449646682,sexo,Hombre,2613,2
2158.0,1.423894482151761,sexo,Hombre,2613,2
2308.0,1.1847591449646682,sexo,Hombre,2613,2
291.0,1.217562046721443,sexo,Hombre,2613,2
988.0,1.423894482151761,sexo,Hombre,2613,2
255.0,1.217562046721443,sexo,Hombre,2613,2
1972.0,1.6690505525687327,sexo,Hombre,2613,2
1043.0,1.3182794077137172,sexo,Hombre,2613,2
2365.0,1.2099187387061097,sexo,Hombre,2613,2
1999.0,1.217562046721443,sexo,Hombre,2613,2
2027.0,1.217562046721443,sexo,Hombre,2613,2
2350.0,1.6690505525687327,sexo,Hombre,2613,2
2358.0,0.9782760772000166,sexo,Hombre,2613,2
2106.0,1.1847591449646682,sexo,Hombre,2613,2
2023.0,1.217562046721443,sexo,Hombre,2613,2
2152.0,1.2099187387061097,sexo,Hombre,2613,2
2369.0,0.9357676922988913,sexo,Hombre,2613,2
2290.0,1.217562046721443,sexo,Hombre,2613,2
2149.0,1.2099187387061097,sexo,Hombre,2613,2
2172.0,1.217562046721443,sexo,Hombre,2613,2
2183.0,1.217562046721443,sexo,Hombre,2613,2
1283.0,1.1847591449646682,sexo,Hombre,2613,2
